Fecha,Abuso de sustancias_Frecuencia,Abuso de sustancias_Porciento,Abuso de sustancias_Texto,Autoinmune_Frecuencia,Autoinmune_Porciento,Autoinmune_Texto,COPD_Frecuencia,COPD_Porciento,COPD_Texto,Condición psicológica_Frecuencia,Condición psicológica_Porciento,Condición psicológica_Texto,Diabetes_Frecuencia,Diabetes_Porciento,Diabetes_Texto,Enfermedad cardiovascular_Frecuencia,Enfermedad cardiovascular_Porciento,Enfermedad cardiovascular_Texto,Exfumador(a)_Frecuencia,Exfumador(a)_Porciento,Exfumador(a)_Texto,Fumador(a)_Frecuencia,Fumador(a)_Porciento,Fumador(a)_Texto,Hipertensión_Frecuencia,Hipertensión_Porciento,Hipertensión_Texto,Hígado crónico_Frecuencia,Hígado crónico_Porciento,Hígado crónico_Texto,Inmunocomprometida_Frecuencia,Inmunocomprometida_Porciento,Inmunocomprometida_Texto,Neurológica_Frecuencia,Neurológica_Porciento,Neurológica_Texto,Obesidad mórbida_Frecuencia,Obesidad mórbida_Porciento,Obesidad mórbida_Texto,Otra conducta de alto riesgo_Frecuencia,Otra conducta de alto riesgo_Porciento,Otra conducta de alto riesgo_Texto,Otras enfermedades crónicas_Frecuencia,Otras enfermedades crónicas_Porciento,Otras enfermedades crónicas_Texto,Renal crónica_Frecuencia,Renal crónica_Porciento,Renal crónica_Texto,n_Frecuencia,n_Porciento,n_Texto
2020-12-25,4,0.3,4 (0.3%),46,3.46,46 (3.5%),411,30.9,411 (30.9%),123,9.25,123 (9.2%),368,27.67,368 (27.7%),145,10.9,145 (10.9%),117,8.8,117 (8.8%),44,3.31,44 (3.3%),610,45.86,610 (45.9%),20,1.5,20 (1.5%),33,2.48,33 (2.5%),44,3.31,44 (3.3%),27,2.03,27 (2.0%),105,7.89,105 (7.9%),294,22.11,294 (22.1%),49,3.68,49 (3.7%),1330,100.0,1330 (100.0%)
2021-01-01,20,0.5,20 (0.5%),140,3.5,140 (3.5%),1216,30.4,1216 (30.4%),322,8.05,322 (8.0%),1136,28.4,1136 (28.4%),442,11.05,442 (11.0%),356,8.9,356 (8.9%),158,3.95,158 (4.0%),1902,47.55,1902 (47.6%),47,1.18,47 (1.2%),131,3.28,131 (3.3%),140,3.5,140 (3.5%),83,2.08,83 (2.1%),304,7.6,304 (7.6%),853,21.32,853 (21.3%),125,3.12,125 (3.1%),4000,100.0,4000 (100.0%)
2021-01-08,109,2.16,109 (2.2%),134,2.66,134 (2.7%),1420,28.16,1420 (28.2%),432,8.57,432 (8.6%),1303,25.84,1303 (25.8%),487,9.66,487 (9.7%),681,13.5,681 (13.5%),297,5.89,297 (5.9%),2172,43.07,2172 (43.1%),103,2.04,103 (2.0%),150,2.97,150 (3.0%),153,3.03,153 (3.0%),123,2.44,123 (2.4%),403,7.99,403 (8.0%),997,19.77,997 (19.8%),142,2.82,142 (2.8%),5043,100.0,5043 (100.0%)
2021-01-15,117,2.44,117 (2.4%),135,2.82,135 (2.8%),1315,27.45,1315 (27.4%),401,8.37,401 (8.4%),1215,25.36,1215 (25.4%),445,9.29,445 (9.3%),701,14.63,701 (14.6%),276,5.76,276 (5.8%),2074,43.29,2074 (43.3%),93,1.94,93 (1.9%),168,3.51,168 (3.5%),145,3.03,145 (3.0%),119,2.48,119 (2.5%),396,8.27,396 (8.3%),939,19.6,939 (19.6%),137,2.86,137 (2.9%),4791,100.0,4791 (100.0%)
2021-01-22,136,2.87,136 (2.9%),130,2.74,130 (2.7%),1280,27.0,1280 (27.0%),405,8.54,405 (8.5%),1176,24.8,1176 (24.8%),424,8.94,424 (8.9%),713,15.04,713 (15.0%),296,6.24,296 (6.2%),2039,43.01,2039 (43.0%),103,2.17,103 (2.2%),167,3.52,167 (3.5%),178,3.75,178 (3.8%),118,2.49,118 (2.5%),398,8.39,398 (8.4%),1000,21.09,1000 (21.1%),128,2.7,128 (2.7%),4741,100.0,4741 (100.0%)
2021-01-29,175,3.6,175 (3.6%),131,2.7,131 (2.7%),1297,26.71,1297 (26.7%),402,8.28,402 (8.3%),1176,24.22,1176 (24.2%),436,8.98,436 (9.0%),777,16.0,777 (16.0%),316,6.51,316 (6.5%),2067,42.57,2067 (42.6%),120,2.47,120 (2.5%),159,3.27,159 (3.3%),188,3.87,188 (3.9%),120,2.47,120 (2.5%),422,8.69,422 (8.7%),1054,21.71,1054 (21.7%),122,2.51,122 (2.5%),4855,100.0,4855 (100.0%)
2021-02-05,111,2.38,111 (2.4%),131,2.81,131 (2.8%),1219,26.14,1219 (26.1%),360,7.72,360 (7.7%),1153,24.73,1153 (24.7%),423,9.07,423 (9.1%),694,14.88,694 (14.9%),312,6.69,312 (6.7%),2015,43.21,2015 (43.2%),85,1.82,85 (1.8%),153,3.28,153 (3.3%),177,3.8,177 (3.8%),125,2.68,125 (2.7%),386,8.28,386 (8.3%),1044,22.39,1044 (22.4%),121,2.59,121 (2.6%),4663,100.0,4663 (100.0%)
2021-02-12,100,2.37,100 (2.4%),120,2.84,120 (2.8%),1117,26.44,1117 (26.4%),339,8.03,339 (8.0%),1062,25.14,1062 (25.1%),383,9.07,383 (9.1%),612,14.49,612 (14.5%),288,6.82,288 (6.8%),1841,43.58,1841 (43.6%),85,2.01,85 (2.0%),132,3.12,132 (3.1%),163,3.86,163 (3.9%),101,2.39,101 (2.4%),351,8.31,351 (8.3%),964,22.82,964 (22.8%),111,2.63,111 (2.6%),4224,100.0,4224 (100.0%)
2021-02-19,82,2.47,82 (2.5%),87,2.62,87 (2.6%),884,26.63,884 (26.6%),263,7.92,263 (7.9%),846,25.49,846 (25.5%),319,9.61,319 (9.6%),482,14.52,482 (14.5%),204,6.15,204 (6.2%),1490,44.89,1490 (44.9%),72,2.17,72 (2.2%),96,2.89,96 (2.9%),125,3.77,125 (3.8%),82,2.47,82 (2.5%),280,8.44,280 (8.4%),769,23.17,769 (23.2%),82,2.47,82 (2.5%),3319,100.0,3319 (100.0%)
2021-02-26,35,1.28,35 (1.3%),76,2.77,76 (2.8%),741,27.05,741 (27.0%),215,7.85,215 (7.8%),715,26.1,715 (26.1%),270,9.86,270 (9.9%),362,13.22,362 (13.2%),171,6.24,171 (6.2%),1255,45.82,1255 (45.8%),33,1.2,33 (1.2%),74,2.7,74 (2.7%),92,3.36,92 (3.4%),63,2.3,63 (2.3%),211,7.7,211 (7.7%),665,24.28,665 (24.3%),72,2.63,72 (2.6%),2739,100.0,2739 (100.0%)
