Fecha,10 a 14_Frecuencia,10 a 14_Porciento,10 a 14_Texto,10 a 19_Frecuencia,10 a 19_Porciento,10 a 19_Texto,15 a 19_Frecuencia,15 a 19_Porciento,15 a 19_Texto,20 a 24_Frecuencia,20 a 24_Porciento,20 a 24_Texto,20 a 29_Frecuencia,20 a 29_Porciento,20 a 29_Texto,25 a 29_Frecuencia,25 a 29_Porciento,25 a 29_Texto,30 a 34_Frecuencia,30 a 34_Porciento,30 a 34_Texto,30 a 39_Frecuencia,30 a 39_Porciento,30 a 39_Texto,35 a 39_Frecuencia,35 a 39_Porciento,35 a 39_Texto,40 a 44_Frecuencia,40 a 44_Porciento,40 a 44_Texto,40 a 49_Frecuencia,40 a 49_Porciento,40 a 49_Texto,45 a 49_Frecuencia,45 a 49_Porciento,45 a 49_Texto,5 a 9_Frecuencia,5 a 9_Porciento,5 a 9_Texto,50 a 54_Frecuencia,50 a 54_Porciento,50 a 54_Texto,50 a 59_Frecuencia,50 a 59_Porciento,50 a 59_Texto,55 a 59_Frecuencia,55 a 59_Porciento,55 a 59_Texto,60 a 64_Frecuencia,60 a 64_Porciento,60 a 64_Texto,60 a 69_Frecuencia,60 a 69_Porciento,60 a 69_Texto,65 a 69_Frecuencia,65 a 69_Porciento,65 a 69_Texto,70 a 74_Frecuencia,70 a 74_Porciento,70 a 74_Texto,70 a 79_Frecuencia,70 a 79_Porciento,70 a 79_Texto,75 a 79_Frecuencia,75 a 79_Porciento,75 a 79_Texto,80 y mayor_Frecuencia,80 y mayor_Porciento,80 y mayor_Texto,Menos de 10_Frecuencia,Menos de 10_Porciento,Menos de 10_Texto,Menos de 5_Frecuencia,Menos de 5_Porciento,Menos de 5_Texto,Más de 80_Frecuencia,Más de 80_Porciento,Más de 80_Texto,n_Frecuencia,n_Porciento,n_Texto
2020-12-25,,,,429,9.65,429 (9.6%),,,,,,,747,16.8,747 (16.8%),,,,,,,673,15.13,673 (15.1%),,,,,,,712,16.01,712 (16.0%),,,,,,,,,,667,15.0,667 (15.0%),,,,,,,442,9.94,442 (9.9%),,,,,,,305,6.86,305 (6.9%),,,,,,,274,6.16,274 (6.2%),,,,198,4.45,198 (4.4%),4447,100.0,4447 (100.0%)
2021-01-01,,,,1367,9.57,1367 (9.6%),,,,,,,2518,17.62,2518 (17.6%),,,,,,,2202,15.41,2202 (15.4%),,,,,,,2240,15.67,2240 (15.7%),,,,,,,,,,2171,15.19,2171 (15.2%),,,,,,,1385,9.69,1385 (9.7%),,,,,,,934,6.54,934 (6.5%),,,,,,,899,6.29,899 (6.3%),,,,575,4.02,575 (4.0%),14291,100.0,14291 (100.0%)
2021-01-08,,,,1211,9.54,1211 (9.5%),,,,,,,2219,17.48,2219 (17.5%),,,,,,,1893,14.92,1893 (14.9%),,,,,,,2040,16.07,2040 (16.1%),,,,,,,,,,1944,15.32,1944 (15.3%),,,,,,,1248,9.83,1248 (9.8%),,,,,,,843,6.64,843 (6.6%),,,,,,,742,5.85,742 (5.8%),,,,551,4.34,551 (4.3%),12691,100.0,12691 (100.0%)
2021-01-15,,,,1144,9.63,1144 (9.6%),,,,,,,2047,17.24,2047 (17.2%),,,,,,,1769,14.9,1769 (14.9%),,,,,,,1899,15.99,1899 (16.0%),,,,,,,,,,1854,15.61,1854 (15.6%),,,,,,,1162,9.79,1162 (9.8%),,,,,,,775,6.53,775 (6.5%),,,,,,,714,6.01,714 (6.0%),,,,510,4.3,510 (4.3%),11874,100.0,11874 (100.0%)
2021-01-22,464,4.13,464 (4.1%),,,,618,5.51,618 (5.5%),931,8.29,931 (8.3%),,,,957,8.53,957 (8.5%),825,7.35,825 (7.4%),,,,830,7.39,830 (7.4%),924,8.23,924 (8.2%),,,,947,8.44,947 (8.4%),351,3.13,351 (3.1%),913,8.13,913 (8.1%),,,,812,7.23,812 (7.2%),665,5.92,665 (5.9%),,,,492,4.38,492 (4.4%),395,3.52,395 (3.5%),,,,349,3.11,349 (3.1%),,,,,,,292,2.6,292 (2.6%),459,4.09,459 (4.1%),11224,100.0,11224 (100.0%)
2021-01-29,477,4.22,477 (4.2%),,,,649,5.74,649 (5.7%),945,8.36,945 (8.4%),,,,947,8.38,947 (8.4%),815,7.21,815 (7.2%),,,,834,7.38,834 (7.4%),935,8.28,935 (8.3%),,,,968,8.57,968 (8.6%),354,3.13,354 (3.1%),919,8.13,919 (8.1%),,,,806,7.13,806 (7.1%),659,5.83,659 (5.8%),,,,500,4.43,500 (4.4%),414,3.66,414 (3.7%),,,,336,2.97,336 (3.0%),,,,,,,285,2.52,285 (2.5%),455,4.03,455 (4.0%),11298,100.0,11298 (100.0%)
2021-02-05,462,4.28,462 (4.3%),,,,649,6.01,649 (6.0%),880,8.15,880 (8.2%),,,,859,7.96,859 (8.0%),793,7.35,793 (7.4%),,,,787,7.29,787 (7.3%),904,8.38,904 (8.4%),,,,907,8.4,907 (8.4%),353,3.27,353 (3.3%),862,7.99,862 (8.0%),,,,773,7.16,773 (7.2%),655,6.07,655 (6.1%),,,,488,4.52,488 (4.5%),422,3.91,422 (3.9%),,,,314,2.91,314 (2.9%),,,,,,,271,2.51,271 (2.5%),413,3.83,413 (3.8%),10792,100.0,10792 (100.0%)
2021-02-12,401,4.23,401 (4.2%),,,,572,6.04,572 (6.0%),750,7.91,750 (7.9%),,,,730,7.7,730 (7.7%),698,7.37,698 (7.4%),,,,694,7.32,694 (7.3%),767,8.09,767 (8.1%),,,,778,8.21,778 (8.2%),326,3.44,326 (3.4%),737,7.78,737 (7.8%),,,,694,7.32,694 (7.3%),586,6.18,586 (6.2%),,,,446,4.71,446 (4.7%),400,4.22,400 (4.2%),,,,306,3.23,306 (3.2%),,,,,,,237,2.5,237 (2.5%),354,3.74,354 (3.7%),9476,100.0,9476 (100.0%)
2021-02-19,274,3.71,274 (3.7%),,,,421,5.7,421 (5.7%),584,7.9,584 (7.9%),,,,573,7.75,573 (7.8%),537,7.27,537 (7.3%),,,,541,7.32,541 (7.3%),621,8.4,621 (8.4%),,,,571,7.73,571 (7.7%),255,3.45,255 (3.4%),569,7.7,569 (7.7%),,,,556,7.52,556 (7.5%),477,6.45,477 (6.4%),,,,353,4.78,353 (4.8%),328,4.44,328 (4.4%),,,,245,3.32,245 (3.3%),,,,,,,200,2.71,200 (2.7%),285,3.86,285 (3.9%),7390,100.0,7390 (100.0%)
2021-02-26,237,3.93,237 (3.9%),,,,359,5.95,359 (6.0%),466,7.73,466 (7.7%),,,,452,7.5,452 (7.5%),434,7.2,434 (7.2%),,,,422,7.0,422 (7.0%),462,7.66,462 (7.7%),,,,474,7.86,474 (7.9%),221,3.67,221 (3.7%),489,8.11,489 (8.1%),,,,472,7.83,472 (7.8%),380,6.3,380 (6.3%),,,,291,4.83,291 (4.8%),268,4.45,268 (4.4%),,,,220,3.65,220 (3.6%),,,,,,,168,2.79,168 (2.8%),214,3.55,214 (3.6%),6029,100.0,6029 (100.0%)
