Fecha,Aeropuerto_Frecuencia,Aeropuerto_Porciento,Aeropuerto_Texto,Animal_Frecuencia,Animal_Porciento,Animal_Texto,Centro Comercial_Frecuencia,Centro Comercial_Porciento,Centro Comercial_Texto,Congregación Religiosa_Frecuencia,Congregación Religiosa_Porciento,Congregación Religiosa_Texto,Crucero o viaje en barco_Frecuencia,Crucero o viaje en barco_Porciento,Crucero o viaje en barco_Texto,Desconocida_Frecuencia,Desconocida_Porciento,Desconocida_Texto,Escuela/Universidad/Cuido de niños_Frecuencia,Escuela/Universidad/Cuido de niños_Porciento,Escuela/Universidad/Cuido de niños_Texto,Evento comunitario_Frecuencia,Evento comunitario_Porciento,Evento comunitario_Texto,Facilidad correccional_Frecuencia,Facilidad correccional_Porciento,Facilidad correccional_Texto,Gimnasio_Frecuencia,Gimnasio_Porciento,Gimnasio_Texto,Lugar de trabajo_Frecuencia,Lugar de trabajo_Porciento,Lugar de trabajo_Texto,Lugares de cuidado prolongado_Frecuencia,Lugares de cuidado prolongado_Porciento,Lugares de cuidado prolongado_Texto,Otra exposición_Frecuencia,Otra exposición_Porciento,Otra exposición_Texto,Restaurante_Frecuencia,Restaurante_Porciento,Restaurante_Texto,Viaje doméstico_Frecuencia,Viaje doméstico_Porciento,Viaje doméstico_Texto,Viaje internacional_Frecuencia,Viaje internacional_Porciento,Viaje internacional_Texto,n_Frecuencia,n_Porciento,n_Texto
2020-12-25,176,5.25,176 (5.2%),0,0.0,0 (0.0%),383,11.42,383 (11.4%),101,3.01,101 (3.0%),5,0.15,5 (0.2%),3,0.09,3 (0.1%),34,1.01,34 (1.0%),37,1.1,37 (1.1%),12,0.36,12 (0.4%),13,0.39,13 (0.4%),832,24.81,832 (24.8%),48,1.43,48 (1.4%),739,22.04,739 (22.0%),218,6.5,218 (6.5%),218,6.5,218 (6.5%),44,1.31,44 (1.3%),3353,100.0,3353 (100.0%)
2021-01-01,523,4.94,523 (4.9%),0,0.0,0 (0.0%),1165,11.01,1165 (11.0%),350,3.31,350 (3.3%),10,0.09,10 (0.1%),4,0.04,4 (0.0%),119,1.12,119 (1.1%),181,1.71,181 (1.7%),43,0.41,43 (0.4%),72,0.68,72 (0.7%),2600,24.58,2600 (24.6%),128,1.21,128 (1.2%),2402,22.71,2402 (22.7%),697,6.59,697 (6.6%),691,6.53,691 (6.5%),112,1.06,112 (1.1%),10578,100.0,10578 (100.0%)
2021-01-08,551,5.84,551 (5.8%),0,0.0,0 (0.0%),1081,11.46,1081 (11.5%),313,3.32,313 (3.3%),9,0.1,9 (0.1%),2,0.02,2 (0.0%),87,0.92,87 (0.9%),158,1.67,158 (1.7%),183,1.94,183 (1.9%),45,0.48,45 (0.5%),2276,24.12,2276 (24.1%),121,1.28,121 (1.3%),2086,22.11,2086 (22.1%),586,6.21,586 (6.2%),700,7.42,700 (7.4%),115,1.22,115 (1.2%),9435,100.0,9435 (100.0%)
2021-01-15,798,8.85,798 (8.8%),0,0.0,0 (0.0%),1085,12.03,1085 (12.0%),321,3.56,321 (3.6%),10,0.11,10 (0.1%),3,0.03,3 (0.0%),56,0.62,56 (0.6%),192,2.13,192 (2.1%),198,2.19,198 (2.2%),54,0.6,54 (0.6%),1988,22.04,1988 (22.0%),115,1.27,115 (1.3%),1956,21.68,1956 (21.7%),562,6.23,562 (6.2%),1004,11.13,1004 (11.1%),187,2.07,187 (2.1%),9021,100.0,9021 (100.0%)
2021-01-22,975,11.12,975 (11.1%),0,0.0,0 (0.0%),1102,12.57,1102 (12.6%),318,3.63,318 (3.6%),8,0.09,8 (0.1%),4,0.05,4 (0.0%),42,0.48,42 (0.5%),239,2.73,239 (2.7%),267,3.05,267 (3.0%),62,0.71,62 (0.7%),1759,20.07,1759 (20.1%),107,1.22,107 (1.2%),1930,22.02,1930 (22.0%),590,6.73,590 (6.7%),1195,13.63,1195 (13.6%),252,2.87,252 (2.9%),8766,100.0,8766 (100.0%)
2021-01-29,1064,11.86,1064 (11.9%),0,0.0,0 (0.0%),1133,12.63,1133 (12.6%),295,3.29,295 (3.3%),11,0.12,11 (0.1%),4,0.04,4 (0.0%),46,0.51,46 (0.5%),272,3.03,272 (3.0%),325,3.62,325 (3.6%),69,0.77,69 (0.8%),1758,19.6,1758 (19.6%),100,1.12,100 (1.1%),1977,22.05,1977 (22.0%),661,7.37,661 (7.4%),1318,14.7,1318 (14.7%),285,3.18,285 (3.2%),8968,100.0,8968 (100.0%)
2021-02-05,1698,19.65,1698 (19.6%),0,0.0,0 (0.0%),1104,12.77,1104 (12.8%),309,3.58,309 (3.6%),11,0.13,11 (0.1%),5,0.06,5 (0.1%),50,0.58,50 (0.6%),258,2.99,258 (3.0%),211,2.44,211 (2.4%),71,0.82,71 (0.8%),1636,18.93,1636 (18.9%),84,0.97,84 (1.0%),1978,22.89,1978 (22.9%),725,8.39,725 (8.4%),1367,15.82,1367 (15.8%),284,3.29,284 (3.3%),8643,100.0,8643 (100.0%)
2021-02-12,1366,17.78,1366 (17.8%),0,0.0,0 (0.0%),964,12.55,964 (12.6%),327,4.26,327 (4.3%),6,0.08,6 (0.1%),5,0.07,5 (0.1%),73,0.95,73 (1.0%),216,2.81,216 (2.8%),185,2.41,185 (2.4%),77,1.0,77 (1.0%),1451,18.89,1451 (18.9%),79,1.03,79 (1.0%),1775,23.1,1775 (23.1%),684,8.9,684 (8.9%),1097,14.28,1097 (14.3%),223,2.9,223 (2.9%),7683,100.0,7683 (100.0%)
2021-02-19,870,14.51,870 (14.5%),0,0.0,0 (0.0%),758,12.64,758 (12.6%),295,4.92,295 (4.9%),2,0.03,2 (0.0%),3,0.05,3 (0.0%),73,1.22,73 (1.2%),157,2.62,157 (2.6%),121,2.02,121 (2.0%),64,1.07,64 (1.1%),1191,19.87,1191 (19.9%),60,1.0,60 (1.0%),1455,24.27,1455 (24.3%),585,9.76,585 (9.8%),701,11.69,701 (11.7%),129,2.15,129 (2.2%),5995,100.0,5995 (100.0%)
2021-02-26,592,11.99,592 (12.0%),0,0.0,0 (0.0%),642,13.0,642 (13.0%),276,5.59,276 (5.6%),2,0.04,2 (0.0%),2,0.04,2 (0.0%),84,1.7,84 (1.7%),124,2.51,124 (2.5%),72,1.46,72 (1.5%),55,1.11,55 (1.1%),1030,20.86,1030 (20.9%),49,0.99,49 (1.0%),1225,24.81,1225 (24.8%),518,10.49,518 (10.5%),486,9.84,486 (9.8%),72,1.46,72 (1.5%),4937,100.0,4937 (100.0%)
