Fecha,Aguadilla_Frecuencia,Aguadilla_Porciento,Aguadilla_Texto,Arecibo_Frecuencia,Arecibo_Porciento,Arecibo_Texto,Bayamón_Frecuencia,Bayamón_Porciento,Bayamón_Texto,Caguas_Frecuencia,Caguas_Porciento,Caguas_Texto,Carolina_Frecuencia,Carolina_Porciento,Carolina_Texto,Cayey_Frecuencia,Cayey_Porciento,Cayey_Texto,Cidra_Frecuencia,Cidra_Porciento,Cidra_Texto,Guaynabo_Frecuencia,Guaynabo_Porciento,Guaynabo_Texto,Humacao_Frecuencia,Humacao_Porciento,Humacao_Texto,Juncos_Frecuencia,Juncos_Porciento,Juncos_Texto,Manatí_Frecuencia,Manatí_Porciento,Manatí_Texto,Mayagüez_Frecuencia,Mayagüez_Porciento,Mayagüez_Texto,Otros municipios_Frecuencia,Otros municipios_Porciento,Otros municipios_Texto,Ponce_Frecuencia,Ponce_Porciento,Ponce_Texto,Rio Grande_Frecuencia,Rio Grande_Porciento,Rio Grande_Texto,San Juan_Frecuencia,San Juan_Porciento,San Juan_Texto,n_Frecuencia,n_Porciento,n_Texto
2020-12-25,,,,13,7.18,13 (7.2%),16,8.84,16 (8.8%),13,7.18,13 (7.2%),,,,,,,,,,,,,,,,,,,,,,,,,85,46.96,85 (47.0%),,,,,,,54,29.83,54 (29.8%),181,100.0,181 (100.0%)
2021-01-01,11,1.92,11 (1.9%),27,4.71,27 (4.7%),56,9.77,56 (9.8%),37,6.46,37 (6.5%),26,4.54,26 (4.5%),11,1.92,11 (1.9%),15,2.62,15 (2.6%),12,2.09,12 (2.1%),11,1.92,11 (1.9%),,,,18,3.14,18 (3.1%),22,3.84,22 (3.8%),128,22.34,128 (22.3%),23,4.01,23 (4.0%),,,,176,30.72,176 (30.7%),573,100.0,573 (100.0%)
2021-01-08,10,2.03,10 (2.0%),24,4.88,24 (4.9%),48,9.76,48 (9.8%),29,5.89,29 (5.9%),28,5.69,28 (5.7%),,,,14,2.85,14 (2.8%),10,2.03,10 (2.0%),,,,,,,11,2.24,11 (2.2%),18,3.66,18 (3.7%),131,26.63,131 (26.6%),25,5.08,25 (5.1%),,,,144,29.27,144 (29.3%),492,100.0,492 (100.0%)
2021-01-15,10,2.3,10 (2.3%),20,4.6,20 (4.6%),41,9.43,41 (9.4%),26,5.98,26 (6.0%),19,4.37,19 (4.4%),,,,13,2.99,13 (3.0%),10,2.3,10 (2.3%),,,,,,,13,2.99,13 (3.0%),14,3.22,14 (3.2%),126,28.97,126 (29.0%),25,5.75,25 (5.8%),,,,118,27.13,118 (27.1%),435,100.0,435 (100.0%)
2021-01-22,,,,10,2.79,10 (2.8%),34,9.5,34 (9.5%),23,6.42,23 (6.4%),18,5.03,18 (5.0%),,,,,,,12,3.35,12 (3.4%),,,,,,,,,,15,4.19,15 (4.2%),123,34.36,123 (34.4%),26,7.26,26 (7.3%),,,,97,27.09,97 (27.1%),358,100.0,358 (100.0%)
2021-01-29,,,,,,,31,10.03,31 (10.0%),23,7.44,23 (7.4%),14,4.53,14 (4.5%),,,,,,,12,3.88,12 (3.9%),,,,,,,,,,16,5.18,16 (5.2%),117,37.86,117 (37.9%),24,7.77,24 (7.8%),,,,72,23.3,72 (23.3%),309,100.0,309 (100.0%)
2021-02-05,,,,,,,26,9.92,26 (9.9%),18,6.87,18 (6.9%),,,,,,,,,,,,,,,,,,,,,,12,4.58,12 (4.6%),127,48.47,127 (48.5%),20,7.63,20 (7.6%),,,,59,22.52,59 (22.5%),262,100.0,262 (100.0%)
2021-02-12,,,,,,,15,7.58,15 (7.6%),17,8.59,17 (8.6%),,,,,,,,,,,,,,,,,,,,,,,,,103,52.02,103 (52.0%),16,8.08,16 (8.1%),,,,47,23.74,47 (23.7%),198,100.0,198 (100.0%)
2021-02-19,,,,,,,13,9.49,13 (9.5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,89,64.96,89 (65.0%),,,,,,,35,25.55,35 (25.6%),137,100.0,137 (100.0%)
2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,73.27,74 (73.3%),,,,,,,27,26.73,27 (26.7%),101,100.0,101 (100.0%)
