Fecha,Afuera_Frecuencia,Afuera_Porciento,Afuera_Texto,Apartamento_Frecuencia,Apartamento_Porciento,Apartamento_Texto,Correctional_Frecuencia,Correctional_Porciento,Correctional_Texto,Cuidado Prolongado_Frecuencia,Cuidado Prolongado_Porciento,Cuidado Prolongado_Texto,Desconocido_Frecuencia,Desconocido_Porciento,Desconocido_Texto,Hogar_Frecuencia,Hogar_Porciento,Hogar_Texto,Hogar de grupo_Frecuencia,Hogar de grupo_Porciento,Hogar de grupo_Texto,Hospitalizado_Frecuencia,Hospitalizado_Porciento,Hospitalizado_Texto,Hotel_Frecuencia,Hotel_Porciento,Hotel_Texto,Mobile Home_Frecuencia,Mobile Home_Porciento,Mobile Home_Texto,Otros_Frecuencia,Otros_Porciento,Otros_Texto,Rehabilitation_Frecuencia,Rehabilitation_Porciento,Rehabilitation_Texto,Shelter_Frecuencia,Shelter_Porciento,Shelter_Texto,Vivienda asistida_Frecuencia,Vivienda asistida_Porciento,Vivienda asistida_Texto,n_Frecuencia,n_Porciento,n_Texto
2020-12-25,6,0.24,6 (0.2%),116,4.67,116 (4.7%),1,0.04,1 (0.0%),2,0.08,2 (0.1%),11,0.44,11 (0.4%),2214,89.13,2214 (89.1%),22,0.89,22 (0.9%),50,2.01,50 (2.0%),3,0.12,3 (0.1%),,,,43,1.73,43 (1.7%),,,,,,,16,0.64,16 (0.6%),2484,100.0,2484 (100.0%)
2021-01-01,16,0.2,16 (0.2%),369,4.58,369 (4.6%),2,0.02,2 (0.0%),10,0.12,10 (0.1%),26,0.32,26 (0.3%),7236,89.85,7236 (89.8%),50,0.62,50 (0.6%),141,1.75,141 (1.8%),10,0.12,10 (0.1%),1,0.01,1 (0.0%),124,1.54,124 (1.5%),1,0.01,1 (0.0%),2,0.02,2 (0.0%),65,0.81,65 (0.8%),8053,100.0,8053 (100.0%)
2021-01-08,9,0.12,9 (0.1%),289,4.01,289 (4.0%),121,1.68,121 (1.7%),15,0.21,15 (0.2%),26,0.36,26 (0.4%),6357,88.21,6357 (88.2%),49,0.68,49 (0.7%),135,1.87,135 (1.9%),5,0.07,5 (0.1%),2,0.03,2 (0.0%),133,1.85,133 (1.8%),5,0.07,5 (0.1%),,,,61,0.85,61 (0.8%),7207,100.0,7207 (100.0%)
2021-01-15,11,0.16,11 (0.2%),327,4.7,327 (4.7%),136,1.95,136 (2.0%),8,0.11,8 (0.1%),27,0.39,27 (0.4%),6053,86.97,6053 (87.0%),67,0.96,67 (1.0%),115,1.65,115 (1.6%),16,0.23,16 (0.2%),1,0.01,1 (0.0%),121,1.74,121 (1.7%),8,0.11,8 (0.1%),,,,70,1.01,70 (1.0%),6960,100.0,6960 (100.0%)
2021-01-22,11,0.16,11 (0.2%),334,4.9,334 (4.9%),171,2.51,171 (2.5%),7,0.1,7 (0.1%),23,0.34,23 (0.3%),5896,86.46,5896 (86.5%),61,0.89,61 (0.9%),100,1.47,100 (1.5%),16,0.23,16 (0.2%),1,0.01,1 (0.0%),124,1.82,124 (1.8%),9,0.13,9 (0.1%),,,,66,0.97,66 (1.0%),6819,100.0,6819 (100.0%)
2021-01-29,10,0.14,10 (0.1%),343,4.92,343 (4.9%),204,2.93,204 (2.9%),5,0.07,5 (0.1%),26,0.37,26 (0.4%),6001,86.07,6001 (86.1%),61,0.87,61 (0.9%),94,1.35,94 (1.4%),20,0.29,20 (0.3%),1,0.01,1 (0.0%),133,1.91,133 (1.9%),11,0.16,11 (0.2%),,,,63,0.9,63 (0.9%),6972,100.0,6972 (100.0%)
2021-02-05,13,0.2,13 (0.2%),344,5.24,344 (5.2%),95,1.45,95 (1.4%),6,0.09,6 (0.1%),17,0.26,17 (0.3%),5748,87.54,5748 (87.5%),54,0.82,54 (0.8%),75,1.14,75 (1.1%),26,0.4,26 (0.4%),,,,137,2.09,137 (2.1%),8,0.12,8 (0.1%),,,,43,0.65,43 (0.6%),6566,100.0,6566 (100.0%)
2021-02-12,16,0.28,16 (0.3%),326,5.65,326 (5.6%),86,1.49,86 (1.5%),3,0.05,3 (0.0%),17,0.29,17 (0.3%),5040,87.36,5040 (87.4%),38,0.66,38 (0.7%),72,1.25,72 (1.2%),17,0.29,17 (0.3%),,,,110,1.91,110 (1.9%),4,0.07,4 (0.1%),,,,40,0.69,40 (0.7%),5769,100.0,5769 (100.0%)
2021-02-19,12,0.27,12 (0.3%),263,5.87,263 (5.9%),63,1.41,63 (1.4%),3,0.07,3 (0.1%),14,0.31,14 (0.3%),3911,87.26,3911 (87.3%),29,0.65,29 (0.6%),57,1.27,57 (1.3%),13,0.29,13 (0.3%),,,,79,1.76,79 (1.8%),4,0.09,4 (0.1%),,,,34,0.76,34 (0.8%),4482,100.0,4482 (100.0%)
2021-02-26,10,0.27,10 (0.3%),216,5.8,216 (5.8%),48,1.29,48 (1.3%),,,,9,0.24,9 (0.2%),3279,88.05,3279 (88.0%),21,0.56,21 (0.6%),50,1.34,50 (1.3%),9,0.24,9 (0.2%),,,,57,1.53,57 (1.5%),2,0.05,2 (0.0%),,,,23,0.62,23 (0.6%),3724,100.0,3724 (100.0%)
