Fecha,Congestión nasal_Frecuencia,Congestión nasal_Prevalencia,Congestión nasal_Texto,Diarrea_Frecuencia,Diarrea_Prevalencia,Diarrea_Texto,Dificultad respiratoria_Frecuencia,Dificultad respiratoria_Prevalencia,Dificultad respiratoria_Texto,Dolor abdominal_Frecuencia,Dolor abdominal_Prevalencia,Dolor abdominal_Texto,Dolor de cabeza_Frecuencia,Dolor de cabeza_Prevalencia,Dolor de cabeza_Texto,Dolor de garganta_Frecuencia,Dolor de garganta_Prevalencia,Dolor de garganta_Texto,Dolor de pecho_Frecuencia,Dolor de pecho_Prevalencia,Dolor de pecho_Texto,Dolor muscular_Frecuencia,Dolor muscular_Prevalencia,Dolor muscular_Texto,Escalofríos_Frecuencia,Escalofríos_Prevalencia,Escalofríos_Texto,Fatiga_Frecuencia,Fatiga_Prevalencia,Fatiga_Texto,Febril_Frecuencia,Febril_Prevalencia,Febril_Texto,Fiebre_Frecuencia,Fiebre_Prevalencia,Fiebre_Texto,Náusea y/o vómito_Frecuencia,Náusea y/o vómito_Prevalencia,Náusea y/o vómito_Texto,Otros síntomas_Frecuencia,Otros síntomas_Prevalencia,Otros síntomas_Texto,Pérdida de aliento_Frecuencia,Pérdida de aliento_Prevalencia,Pérdida de aliento_Texto,Pérdida de olfato/gusto_Frecuencia,Pérdida de olfato/gusto_Prevalencia,Pérdida de olfato/gusto_Texto,Sibilancias_Frecuencia,Sibilancias_Prevalencia,Sibilancias_Texto,Síntomas gastrointestinales_Frecuencia,Síntomas gastrointestinales_Prevalencia,Síntomas gastrointestinales_Texto,Tos_Frecuencia,Tos_Prevalencia,Tos_Texto,n_Frecuencia,n_Prevalencia,n_Texto
2020-12-25,1182,46.03,1182 (46.0%),497,19.35,497 (19.4%),376,14.64,376 (14.6%),187,7.28,187 (7.3%),1225,47.7,1225 (47.7%),618,24.07,618 (24.1%),299,11.64,299 (11.6%),1074,41.82,1074 (41.8%),660,25.7,660 (25.7%),985,38.36,985 (38.4%),468,18.22,468 (18.2%),1012,39.41,1012 (39.4%),291,11.33,291 (11.3%),278,10.83,278 (10.8%),251,9.77,251 (9.8%),1115,43.42,1115 (43.4%),60,2.34,60 (2.3%),81,3.15,81 (3.2%),1194,46.5,1194 (46.5%),2568,100.0,2568 (100.0%)
2021-01-01,3742,45.14,3742 (45.1%),1798,21.69,1798 (21.7%),1237,14.92,1237 (14.9%),635,7.66,635 (7.7%),4085,49.28,4085 (49.3%),2021,24.38,2021 (24.4%),991,11.96,991 (12.0%),3579,43.18,3579 (43.2%),2246,27.1,2246 (27.1%),3272,39.47,3272 (39.5%),1523,18.37,1523 (18.4%),3358,40.51,3358 (40.5%),963,11.62,963 (11.6%),962,11.61,962 (11.6%),826,9.97,826 (10.0%),3822,46.11,3822 (46.1%),241,2.91,241 (2.9%),255,3.08,255 (3.1%),3855,46.51,3855 (46.5%),8289,100.0,8289 (100.0%)
2021-01-08,3401,46.25,3401 (46.2%),1616,21.98,1616 (22.0%),1071,14.57,1071 (14.6%),581,7.9,581 (7.9%),3591,48.84,3591 (48.8%),1812,24.64,1812 (24.6%),848,11.53,848 (11.5%),3186,43.33,3186 (43.3%),2022,27.5,2022 (27.5%),2871,39.05,2871 (39.0%),1367,18.59,1367 (18.6%),2995,40.73,2995 (40.7%),861,11.71,861 (11.7%),846,11.51,846 (11.5%),723,9.83,723 (9.8%),3357,45.65,3357 (45.6%),206,2.8,206 (2.8%),215,2.92,215 (2.9%),3426,46.59,3426 (46.6%),7353,100.0,7353 (100.0%)
2021-01-15,3551,49.82,3551 (49.8%),1630,22.87,1630 (22.9%),1125,15.79,1125 (15.8%),611,8.57,611 (8.6%),3576,50.18,3576 (50.2%),1787,25.07,1787 (25.1%),906,12.71,906 (12.7%),3172,44.51,3172 (44.5%),1994,27.98,1994 (28.0%),3026,42.46,3026 (42.5%),1403,19.69,1403 (19.7%),2856,40.07,2856 (40.1%),914,12.82,914 (12.8%),1089,15.28,1089 (15.3%),774,10.86,774 (10.9%),3397,47.66,3397 (47.7%),219,3.07,219 (3.1%),254,3.56,254 (3.6%),3510,49.25,3510 (49.2%),7127,100.0,7127 (100.0%)
2021-01-22,3620,51.8,3620 (51.8%),1595,22.82,1595 (22.8%),1104,15.8,1104 (15.8%),637,9.11,637 (9.1%),3544,50.71,3544 (50.7%),1735,24.82,1735 (24.8%),855,12.23,855 (12.2%),3150,45.07,3150 (45.1%),1984,28.39,1984 (28.4%),3042,43.53,3042 (43.5%),1417,20.27,1417 (20.3%),2821,40.36,2821 (40.4%),932,13.34,932 (13.3%),1143,16.35,1143 (16.4%),788,11.27,788 (11.3%),3295,47.15,3295 (47.2%),218,3.12,218 (3.1%),266,3.81,266 (3.8%),3482,49.82,3482 (49.8%),6989,100.0,6989 (100.0%)
2021-01-29,3699,51.86,3699 (51.9%),1616,22.66,1616 (22.7%),1082,15.17,1082 (15.2%),665,9.32,665 (9.3%),3658,51.29,3658 (51.3%),1794,25.15,1794 (25.2%),882,12.37,882 (12.4%),3239,45.42,3239 (45.4%),2019,28.31,2019 (28.3%),3100,43.47,3100 (43.5%),1446,20.27,1446 (20.3%),2883,40.42,2883 (40.4%),970,13.6,970 (13.6%),1238,17.36,1238 (17.4%),777,10.89,777 (10.9%),3333,46.73,3333 (46.7%),208,2.92,208 (2.9%),281,3.94,281 (3.9%),3531,49.51,3531 (49.5%),7132,100.0,7132 (100.0%)
2021-02-05,3307,49.26,3307 (49.3%),1405,20.93,1405 (20.9%),856,12.75,856 (12.8%),572,8.52,572 (8.5%),3314,49.36,3314 (49.4%),1601,23.85,1601 (23.8%),723,10.77,723 (10.8%),2931,43.66,2931 (43.7%),1825,27.18,1825 (27.2%),2667,39.72,2667 (39.7%),1316,19.6,1316 (19.6%),2610,38.87,2610 (38.9%),874,13.02,874 (13.0%),947,14.1,947 (14.1%),610,9.09,610 (9.1%),2898,43.16,2898 (43.2%),174,2.59,174 (2.6%),215,3.2,215 (3.2%),3116,46.41,3116 (46.4%),6714,100.0,6714 (100.0%)
2021-02-12,2836,48.03,2836 (48.0%),1194,20.22,1194 (20.2%),717,12.14,717 (12.1%),487,8.25,487 (8.2%),2859,48.42,2859 (48.4%),1402,23.74,1402 (23.7%),620,10.5,620 (10.5%),2585,43.78,2585 (43.8%),1576,26.69,1576 (26.7%),2302,38.98,2302 (39.0%),1120,18.97,1120 (19.0%),2289,38.76,2289 (38.8%),750,12.7,750 (12.7%),871,14.75,871 (14.8%),504,8.54,504 (8.5%),2383,40.36,2383 (40.4%),137,2.32,137 (2.3%),180,3.05,180 (3.0%),2744,46.47,2744 (46.5%),5905,100.0,5905 (100.0%)
2021-02-19,2199,47.78,2199 (47.8%),930,20.21,930 (20.2%),582,12.65,582 (12.6%),379,8.24,379 (8.2%),2238,48.63,2238 (48.6%),1125,24.45,1125 (24.4%),499,10.84,499 (10.8%),2060,44.76,2060 (44.8%),1271,27.62,1271 (27.6%),1847,40.13,1847 (40.1%),897,19.49,897 (19.5%),1770,38.46,1770 (38.5%),607,13.19,607 (13.2%),714,15.51,714 (15.5%),403,8.76,403 (8.8%),1836,39.9,1836 (39.9%),115,2.5,115 (2.5%),139,3.02,139 (3.0%),2150,46.72,2150 (46.7%),4602,100.0,4602 (100.0%)
2021-02-26,1827,47.8,1827 (47.8%),751,19.65,751 (19.6%),465,12.17,465 (12.2%),300,7.85,300 (7.8%),1840,48.14,1840 (48.1%),970,25.38,970 (25.4%),420,10.99,420 (11.0%),1689,44.19,1689 (44.2%),1064,27.84,1064 (27.8%),1509,39.48,1509 (39.5%),737,19.28,737 (19.3%),1456,38.1,1456 (38.1%),500,13.08,500 (13.1%),584,15.28,584 (15.3%),314,8.22,314 (8.2%),1453,38.02,1453 (38.0%),98,2.56,98 (2.6%),108,2.83,108 (2.8%),1764,46.15,1764 (46.2%),3822,100.0,3822 (100.0%)
