Fecha,Business_Frecuencia,Business_Porciento,Business_Texto,Cuido de niños_Frecuencia,Cuido de niños_Porciento,Cuido de niños_Texto,Escuela Privada_Frecuencia,Escuela Privada_Porciento,Escuela Privada_Texto,Escuela Pública_Frecuencia,Escuela Pública_Porciento,Escuela Pública_Texto,Familiar_Frecuencia,Familiar_Porciento,Familiar_Texto,Headstart_Frecuencia,Headstart_Porciento,Headstart_Texto,Monitoreo_Frecuencia,Monitoreo_Porciento,Monitoreo_Texto,n_Frecuencia,n_Porciento,n_Texto
2020-12-25,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,,,,10,1.53,10 (1.5%),128,19.57,128 (19.6%),494,75.54,494 (75.5%),26,3.98,26 (4.0%),,,,0,0.0,0 (0.0%),654,100.0,654 (100.0%)
2021-03-05,,,,7,1.41,7 (1.4%),90,18.07,90 (18.1%),382,76.71,382 (76.7%),20,4.02,20 (4.0%),,,,0,0.0,0 (0.0%),498,100.0,498 (100.0%)
2021-03-12,,,,7,1.55,7 (1.6%),87,19.21,87 (19.2%),343,75.72,343 (75.7%),16,3.53,16 (3.5%),,,,0,0.0,0 (0.0%),453,100.0,453 (100.0%)
2021-03-19,,,,8,1.78,8 (1.8%),118,26.22,118 (26.2%),308,68.44,308 (68.4%),17,3.78,17 (3.8%),,,,0,0.0,0 (0.0%),450,100.0,450 (100.0%)
2021-03-26,0,0.0,0 (0.0%),6,1.22,6 (1.2%),152,31.02,152 (31.0%),315,64.29,315 (64.3%),19,3.88,19 (3.9%),2,0.41,2 (0.4%),0,0.0,0 (0.0%),490,100.0,490 (100.0%)
2021-04-02,0,0.0,0 (0.0%),9,1.55,9 (1.6%),177,30.41,177 (30.4%),382,65.64,382 (65.6%),17,2.92,17 (2.9%),2,0.34,2 (0.3%),0,0.0,0 (0.0%),582,100.0,582 (100.0%)
2021-04-09,0,0.0,0 (0.0%),14,1.12,14 (1.1%),328,26.22,328 (26.2%),871,69.62,871 (69.6%),34,2.72,34 (2.7%),12,0.96,12 (1.0%),0,0.0,0 (0.0%),1251,100.0,1251 (100.0%)
2021-04-16,3,0.16,3 (0.2%),27,1.41,27 (1.4%),446,23.33,446 (23.3%),1374,71.86,1374 (71.9%),63,3.29,63 (3.3%),20,1.05,20 (1.0%),0,0.0,0 (0.0%),1912,100.0,1912 (100.0%)
2021-04-23,5,0.2,5 (0.2%),36,1.44,36 (1.4%),539,21.52,539 (21.5%),1821,72.69,1821 (72.7%),87,3.47,87 (3.5%),45,1.8,45 (1.8%),0,0.0,0 (0.0%),2505,100.0,2505 (100.0%)
2021-04-30,6,0.23,6 (0.2%),38,1.46,38 (1.5%),535,20.57,535 (20.6%),1906,73.28,1906 (73.3%),95,3.65,95 (3.6%),57,2.19,57 (2.2%),0,0.0,0 (0.0%),2601,100.0,2601 (100.0%)
2021-05-07,6,0.24,6 (0.2%),46,1.83,46 (1.8%),484,19.31,484 (19.3%),1854,73.95,1854 (74.0%),94,3.75,94 (3.8%),59,2.35,59 (2.4%),0,0.0,0 (0.0%),2507,100.0,2507 (100.0%)
2021-05-14,4,0.22,4 (0.2%),34,1.86,34 (1.9%),352,19.25,352 (19.2%),1356,74.14,1356 (74.1%),64,3.5,64 (3.5%),43,2.35,43 (2.4%),0,0.0,0 (0.0%),1829,100.0,1829 (100.0%)
